,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
Amsterdam,1.4577464788732397,0.05090909090909095,0.09856262833675555,-0.28083989501312295,-0.43119266055045874,-0.7891566265060245,-0.7142857142857145,-0.4986595174262733,-0.2798053527980536,0.0902777777777779,0.20131291028446407,0.3098591549295775
Athenes,1.3309859154929577,1.3618181818181816,1.328542094455852,1.6062992125984255,1.8929663608562695,2.132530120481927,2.1820728291316533,2.198391420911528,1.9902676399026757,1.9027777777777775,1.8708971553610503,1.6297786720321936
Berlin,-0.30457746478873243,-0.3890909090909091,-0.1704312114989733,-0.28083989501312295,-0.030581039755351574,-0.42771084337349397,-0.3725490196078427,-0.26005361930294874,-0.2992700729927008,-0.2291666666666667,-0.4091903719912471,-0.34004024144869216
Bruxelles,0.31514084507042256,0.20181818181818179,0.2997946611909651,-0.10236220472440913,-0.33944954128440347,-0.5481927710843375,-0.5126050420168062,-0.3190348525469172,-0.15085158150851605,0.020833333333333297,0.1422319474835887,0.3098591549295775
Budapest,-0.46126760563380287,-0.2581818181818182,0.059548254620123024,0.6062992125984253,0.9418960244648312,0.8403614457831323,0.6582633053221293,0.6193029490616618,0.3114355231143551,0.07175925925925937,-0.2078774617067832,-0.44064386317907445
Copenhague,-0.34330985915492956,-0.47818181818181815,-0.809034907597536,-0.9107611548556427,-0.8593272171253824,-0.6084337349397589,-0.7142857142857145,-0.6407506702412871,-0.569343065693431,-0.5092592592592591,-0.42888402625820565,-0.3199195171026157
Dublin,0.5757042253521126,0.5109090909090909,0.1396303901437371,-0.39107611548556415,-1.070336391437309,-1.2379518072289155,-1.2941176470588234,-1.1689008042895446,-0.7104622871046228,-0.2986111111111109,0.1422319474835887,0.5090543259557345
Helsinki,-1.2940140845070423,-1.529090909090909,-1.6283367556468173,-1.6194225721784774,-1.131498470948012,-1.0301204819277108,-0.6834733893557416,-1.0884718498659518,-1.4403892944038927,-1.3402777777777777,-1.308533916849015,-1.040241448692153
Kiev,-1.313380281690141,-1.309090909090909,-1.1396303901437372,-0.49081364829396307,0.11926605504587173,0.12048192771084296,-0.06162464985994366,-0.1286863270777481,-0.46958637469586406,-0.8101851851851851,-1.0678336980306344,-1.2997987927565393
Cracovie,-0.926056338028169,-0.7690909090909092,-0.6796714579055443,-0.36220472440944856,-0.22018348623853232,-0.14759036144578266,-0.3417366946778708,-0.3699731903485252,-0.46958637469586406,-0.5601851851851851,-0.7592997811816191,-0.9195171026156943
Lisbonne,1.5739436619718312,1.6509090909090907,1.5564681724845997,1.36745406824147,0.8501529051987771,0.6024096385542169,0.5294117647058826,0.7801608579088473,1.1605839416058388,1.481481481481481,1.6695842450765863,1.6498993963782695
Londres,0.323943661971831,0.36181818181818187,0.059548254620123024,-0.26246719160104987,-0.6116207951070336,-0.6987951807228917,-0.7619047619047616,-0.6702412868632708,-0.39902676399026776,-0.18981481481481488,0.05032822757111607,0.3098591549295775
Madrid,0.6056338028169015,0.8018181818181819,0.8583162217659137,0.7664041994750661,0.6422018348623858,1.0210843373493979,1.4201680672268908,1.428954423592493,1.0097323600973236,0.6712962962962963,0.5798687089715538,0.5090543259557345
Minsk,-1.487676056338028,-1.529090909090909,-1.4681724845995894,-1.0209973753280837,-0.4587155963302752,-0.45783132530120474,-0.621848739495798,-0.7184986595174262,-0.980535279805353,-1.2013888888888888,-1.308533916849015,-1.4285714285714286
Moscou,-1.903169014084507,-1.789090909090909,-1.48870636550308,-0.8608923884514433,-0.28134556574923547,-0.25000000000000056,-0.3725490196078427,-0.6085790884718497,-1.08029197080292,-1.3703703703703702,-1.5667396061269145,-1.7887323943661975
Oslo,-1.0316901408450705,-1.089090909090909,-1.1991786447638606,-1.280839895013123,-1.1009174311926604,-0.7590361445783131,-0.7619047619047616,-0.9597855227882037,-1.0997566909975671,-1.2291666666666665,-1.2188183807439823,-1.158953722334004
Paris,0.38204225352112675,0.27090909090909093,0.42915811088295686,0.10761154855643049,-0.058103975535168044,-0.2801204819277108,-0.1708683473389354,-0.08042895442359269,0.10948905109488989,0.35185185185185175,0.2713347921225383,0.4688128772635815
Prague,-0.5,-0.3690909090909091,-0.3305954825462013,-0.13123359580052493,0.11926605504587173,0.06024096385542148,-0.0924369747899155,-0.08042895442359269,-0.18004866180048665,-0.37037037037037024,-0.49890590809628,-0.5191146881287727
Reykjavik,-0.323943661971831,-0.3890909090909091,-0.9096509240246408,-1.6797900262467187,-2.2629969418960245,-2.4397590361445785,-2.38375350140056,-2.2493297587131367,-1.878345498783455,-1.5,-0.9584245076586433,-0.5392354124748491
Rome,0.9823943661971831,1.090909090909091,1.0780287474332648,1.1574803149606299,1.192660550458715,1.292168674698795,1.3389355742296922,1.3699731903485253,1.2798053527980533,1.2708333333333328,1.2297592997811815,1.0885311871227363
Sarajevo,-0.5193661971830986,-0.2581818181818182,-0.06981519507186873,-0.0026246719160104427,-0.030581039755351574,-0.11746987951807246,-0.20168067226890726,-0.08042895442359269,-0.09975669099756694,-0.12037037037037027,-0.2078774617067832,-0.42052313883299797
Sofia,-0.5669014084507042,-0.3690909090909091,-0.19096509240246418,0.10761154855643049,0.11926605504587173,0.09036144578313275,0.10924369747899176,0.13941018766756022,0.04136253041362528,-0.0694444444444446,-0.2275711159737418,-0.4607645875251509
Stockholm,-0.8873239436619719,-1.038181818181818,-1.3388090349075976,-1.5196850393700785,-1.4403669724770645,-0.8493975903614459,-0.6834733893557416,-0.7989276139410189,-0.958637469586375,-1.0393518518518519,-0.9584245076586433,-0.8993963782696177
Anvers,0.2764084507042253,0.12181818181818181,0.19917864476386032,-0.10236220472440913,-0.30886850152905193,-0.5783132530120482,-0.4817927170868344,-0.3699731903485252,-0.22871046228710493,0.1111111111111112,0.16192560175054707,0.3702213279678068
Barcelone,1.3309859154929577,1.470909090909091,1.3470225872689936,1.2677165354330708,1.070336391437309,1.1415662650602407,1.2801120448179273,1.3699731903485253,1.4793187347931873,1.5023148148148144,1.5404814004376366,1.4285714285714288
Bordeaux,0.7112676056338029,0.8218181818181819,0.7782340862422996,0.687664041994751,0.3302752293577982,0.2710843373493972,0.21848739495798353,0.27077747989276085,0.4793187347931875,0.5810185185185184,0.5317286652078775,0.6498993963782698
Edimbourg,0.23767605633802819,0.2509090909090909,-0.11088295687885011,-0.5721784776902884,-1.2324159021406726,-1.3283132530120483,-1.3837535014005602,-1.2600536193029495,-0.858880778588808,-0.5300925925925923,-0.16849015317286642,0.16901408450704233
Francfort,-0.23767605633802819,-0.07818181818181817,0.03901437371663234,0.10761154855643049,0.11926605504587173,0.030120481927711273,-0.1708683473389354,-0.17962466487935702,-0.19951338199513388,-0.2800925925925928,-0.2582056892778993,-0.23943661971830987
Geneve,-0.25704225352112675,-0.058181818181818196,-0.03080082135523621,0.0288713910761158,-0.030581039755351574,-0.030120481927711273,-0.06162464985994366,-0.1286863270777481,-0.15085158150851605,-0.2800925925925928,-0.2582056892778993,-0.29979879275653926
Genes,1.2640845070422537,1.1818181818181819,1.2669404517453797,1.1863517060367457,1.100917431192661,1.0813253012048192,1.3585434173669473,1.5093833780160855,1.5012165450121653,1.5717592592592589,1.3413566739606126,1.4285714285714288
Milan,-0.07218309859154932,0.2509090909090909,0.568788501026694,0.8661417322834647,1.0428134556574924,1.171686746987952,1.1708683473389356,1.0187667560321718,0.8004866180048663,0.49074074074074053,0.18161925601750548,-0.06036217303822934
Palerme,1.5739436619718312,1.6909090909090911,1.6570841889117043,1.9973753280839894,2.131498470948012,1.9216867469879515,1.3585434173669473,0.8900804289544236,1.6204379562043791,1.7129629629629626,1.9299781181619255,1.8390342052313886
Seville,1.6126760563380282,1.7418181818181815,1.817248459958932,1.7874015748031502,1.7737003058103977,1.8012048192771086,1.9803921568627452,2.0697050938337798,2.1094890510948905,1.9421296296296295,1.849015317286652,1.6700201207243464
St. Petersbourg,-1.7095070422535215,-1.8381818181818181,-1.8377823408624232,-1.601049868766404,-1.1896024464831807,-0.6084337349397589,-0.3417366946778708,-0.5603217158176943,-1.0097323600973236,-1.3402777777777777,-1.4179431072210065,-1.6498993963782695
Zurich,-0.39260563380281693,-0.27818181818181814,-0.19096509240246418,-0.21259842519685004,-0.30886850152905193,-0.367469879518072,-0.45378151260504135,-0.47989276139410164,-0.36982968369829716,-0.49074074074074053,-0.46827133479212246,-0.5191146881287727
